Run ID,Run Name,Project Step,Metric,Value
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,validation_accuracy,0.7636621717530163
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,validation_precision,0.5376146788990825
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,validation_recall,0.7834224598930482
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,validation_f1_score,0.6376496191512514
cb6187c24df9492a84a66e6d5c795993,baseline_v3_LogisticRegression,,validation_roc_auc,0.8535301867782688
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,validation_accuracy,0.794889992902768
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,validation_precision,0.6628352490421456
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,validation_recall,0.4625668449197861
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,validation_f1_score,0.5448818897637795
452d5f373ec3448499e0c67018c74500,baseline_v3_RandomForest,,validation_roc_auc,0.8406946704900669
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,validation_accuracy,0.765791341376863
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,validation_precision,0.54
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,validation_recall,0.7941176470588235
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,validation_f1_score,0.6428571428571429
90456d82429742dcb3b1577570ad10b2,baseline_v3_XGBoost,,validation_roc_auc,0.8560748146425896
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,validation_accuracy,0.7806955287437899
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,validation_precision,0.5641025641025641
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,validation_recall,0.7647058823529411
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,validation_f1_score,0.6492622020431328
6628c2d4e560415ba259db2493541248,baseline_v3_CatBoost,,validation_roc_auc,0.8552558836446306
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,test_accuracy,0.7629524485450674
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,test_precision,0.5389105058365758
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,test_recall,0.7406417112299465
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,test_f1_score,0.6238738738738738
c5cd37c1333a4fb1b5b6f9da80b4fe72,best_baseline_v3_CatBoost_test_evaluation,,test_roc_auc,0.8489136893228965
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,cv_mean_accuracy,0.7639365422591927
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,cv_mean_precision,0.5368172579042627
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,cv_mean_recall,0.8120401337792643
