Run ID,Run Name,Project Step,Parameter,Value
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,best_model__penalty,l1
3cf594978c62420989c25ccab6bf8358,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,best_model__C,0.05
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,step,step_06_cross_validation_hyperparameter_tuning_v3
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,dataset_version,v3_encoded_unscaled
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,model_name,RandomForest
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,cv_folds,5
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,n_iter,15
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,refit_metric,f1
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,tracking_backend,sqlite
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,train_validation_rows,5634
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,test_rows,1409
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,number_of_features,52
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_n_estimators,500
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_min_samples_split,2
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_min_samples_leaf,4
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_max_features,None
c4403591f2a64e5492930f312a5ac383,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_max_depth,6
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,step,step_06_cross_validation_hyperparameter_tuning_v3
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,dataset_version,v3_encoded_unscaled
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,model_name,XGBoost
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,cv_folds,5
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,n_iter,18
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,refit_metric,f1
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,tracking_backend,sqlite
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,train_validation_rows,5634
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,test_rows,1409
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,number_of_features,52
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_subsample,0.75
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_n_estimators,300
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_min_child_weight,5
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_max_depth,2
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_learning_rate,0.05
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_gamma,0
16c99d6efac64aeeb8fe69e4c5f891a3,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_colsample_bytree,0.95
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,step,step_06_cross_validation_hyperparameter_tuning_v3
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,script,script_01_cv_tuning_models_v3
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,dataset_version,v3_encoded_unscaled
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,model_name,LogisticRegression
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,cv_folds,5
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,n_iter,12
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,refit_metric,f1
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,tracking_backend,sqlite
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,train_validation_rows,5634
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,test_rows,1409
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,number_of_features,52
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,scale_pos_weight,2.768561872909699
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,best_model__solver,liblinear
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,best_model__penalty,l1
1193199489074ca5a7b98e20fd119ba6,tuning_v3_LogisticRegression,step_06_cross_validation_hyperparameter_tuning_v3,best_model__C,0.05
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,step,step_06_cross_validation_hyperparameter_tuning_v3
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,script,script_01_cv_tuning_models_v3
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,dataset_version,v3_encoded_unscaled
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,model_name,RandomForest
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,cv_folds,5
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,n_iter,15
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,refit_metric,f1
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,tracking_backend,sqlite
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,train_validation_rows,5634
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,test_rows,1409
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,number_of_features,52
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,scale_pos_weight,2.768561872909699
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_n_estimators,500
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_min_samples_split,2
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_min_samples_leaf,4
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_max_features,None
6db79379626840568602fb8b30075828,tuning_v3_RandomForest,step_06_cross_validation_hyperparameter_tuning_v3,best_max_depth,6
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,step,step_06_cross_validation_hyperparameter_tuning_v3
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,script,script_01_cv_tuning_models_v3
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,dataset_version,v3_encoded_unscaled
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,model_name,XGBoost
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,cv_folds,5
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,n_iter,18
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,refit_metric,f1
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,tracking_backend,sqlite
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,train_validation_rows,5634
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,test_rows,1409
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,number_of_features,52
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,scale_pos_weight,2.768561872909699
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_subsample,0.75
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_n_estimators,300
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_min_child_weight,5
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_max_depth,2
