mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.8426570892333984,0.025355235288632733,0.01530160903930664,0.0007533690378656043,0.75,500,5,5,0.03,0.1,0.75,"{'subsample': 0.75, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.75}",0.7808340727595386,0.7595385980479148,0.7657497781721384,0.7817213842058562,0.7895204262877442,0.7754728518946384,0.011077543047096801,3,0.8859551808298203,0.8866208120701131,0.8837364100288441,0.8797426225870868,0.878438331854481,0.882898671474069,0.003278830890538878,0.562200956937799,0.5364583333333334,0.5425790754257908,0.5644768856447688,0.5803108808290155,0.5572052264341415,0.015849690739011126,3,0.711276332094176,0.7126008690254501,0.7063882063882064,0.7003676470588235,0.6968408262454435,0.7054947761624198,0.006097531703055944,0.7859531772575251,0.6889632107023411,0.745819397993311,0.7759197324414716,0.7491638795986622,0.7491638795986623,0.0337776084895053,15,0.959866220735786,0.959866220735786,0.9615384615384616,0.955685618729097,0.9590301003344481,0.9591973244147158,0.0019357586793963787,0.6555090655509066,0.6032210834553441,0.6281690140845071,0.6535211267605634,0.654014598540146,0.6388869776782935,0.020524267547794604,15,0.8170818505338078,0.8179551122194514,0.8144475920679887,0.8083451202263083,0.8071780436312456,0.8130015437357605,0.004446869313002363,0.8557914465286867,0.8379340151551872,0.8497972307046031,0.8732287980870213,0.8681619101155402,0.8569826801182077,0.012687102821397369,12,0.9668794299734644,0.9673979963413735,0.9645427878491579,0.964959711673564,0.9641712814857899,0.9655902414646699,0.0012990888361646188
0.24131250381469727,0.005044173253138706,0.01338367462158203,0.00020803369653263804,0.95,200,5,3,0.03,0.0,1.0,"{'subsample': 0.95, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 1.0}",0.7648624667258208,0.74622892635315,0.7444543034605147,0.7630878438331854,0.7779751332149201,0.7593217347175181,0.012532315888211654,15,0.7754603949412026,0.7854448635455957,0.7798979365431551,0.7739072553805192,0.7684117125110914,0.7766244325843128,0.0057393838886034,0.5364806866952789,0.5146067415730337,0.511482254697286,0.5330578512396694,0.5543237250554324,0.52999025185214,0.01563874787687431,15,0.5489882854100107,0.5626025150355386,0.5543710021321961,0.5475550779150994,0.5398740818467995,0.5506781924679288,0.007552016268533979,0.8361204013377926,0.7658862876254181,0.8193979933110368,0.862876254180602,0.8361204013377926,0.8240802675585284,0.032259947964648795,7,0.8620401337792643,0.8603678929765887,0.8695652173913043,0.8520066889632107,0.8603678929765887,0.8608695652173912,0.005586385648324416,0.6535947712418301,0.6155913978494624,0.6298200514138818,0.6590038314176245,0.6666666666666666,0.6449353437178931,0.019155665735592697,6,0.6707872478854913,0.6803305785123966,0.6770833333333334,0.6666666666666666,0.6634429400386848,0.6716621532873145,0.00628977903331835,0.8630559998707447,0.8473898502253889,0.8604325206404602,0.8781768536021844,0.8747699910625099,0.8647650430802576,0.010986942720619336,1,0.8886714902892862,0.8918373082933246,0.8882498946957997,0.8837756025572002,0.8838772155171021,0.8872823022705425,0.0030823924798256274
0.3587659358978271,0.006412473942456448,0.013403034210205078,0.0005922655274100838,0.95,300,1,3,0.01,0.0,1.0,"{'subsample': 0.95, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 1.0}",0.7648624667258208,0.7444543034605147,0.7480035492457853,0.7622005323868678,0.7753108348134992,0.7589663373264977,0.011341506135560045,16,0.7641446638562237,0.774572886620812,0.7712447304193477,0.7623696472154426,0.7610913930789707,0.7666846642381593,0.005279657413919591,0.5361702127659574,0.512087912087912,0.5156576200417536,0.5316973415132924,0.5513392857142857,0.5293904744246403,0.014289903832341447,16,0.534944823962165,0.5487540628385699,0.544,0.5330862890418211,0.531233595800525,0.5384037543286162,0.006783769771150696,0.842809364548495,0.7792642140468228,0.8260869565217391,0.8695652173913043,0.8260869565217391,0.82876254180602,0.029416232009760544,1,0.8511705685618729,0.846989966555184,0.8528428093645485,0.8419732441471572,0.8461538461538461,0.8478260869565217,0.0038497874358599574,0.6553966189856957,0.6180371352785146,0.6349614395886889,0.6598984771573604,0.6613119143239625,0.6459211170668444,0.016850277996050496,4,0.6569861245563084,0.666009204470743,0.6642787365678932,0.6528363047001621,0.6526926797807159,0.6585606100151645,0.005618857742861359,0.8614201121289969,0.8466385536328825,0.8588955940090156,0.875274667571454,0.8735668673894845,0.8631591589463667,0.010480826437008156,5,0.8772381561815334,0.8797389415437948,0.8769942140771261,0.8732317985351353,0.8735129326014249,0.8761432085878029,0.002459555908125344
0.25170650482177737,0.0031257706435294597,0.013810110092163087,0.0004529228001852285,1.0,300,1,2,0.01,0.0,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 1.0}",0.7657497781721384,0.7426796805678794,0.7409050576752441,0.7595385980479148,0.7735346358792184,0.756481550068479,0.012799781616782108,17,0.763922786776126,0.7725759928999334,0.7683603283780785,0.7583758597736854,0.7573203194321206,0.7641110574519889,0.005809535207781606,0.5373134328358209,0.5098901098901099,0.5073068893528184,0.5286885245901639,0.5486725663716814,0.526374304608119,0.01585892567737839,17,0.5352941176470588,0.5468493150684931,0.5406852248394004,0.5285029302077784,0.5269556025369979,0.5356574380599458,0.007450874803292449,0.842809364548495,0.7759197324414716,0.8127090301003345,0.862876254180602,0.8294314381270903,0.8247491638795987,0.02943143812709028,6,0.8369565217391305,0.8344481605351171,0.8444816053511706,0.8294314381270903,0.8336120401337793,0.8357859531772576,0.004977550523791705,0.65625,0.6153846153846154,0.6246786632390745,0.6556543837357052,0.6604527296937417,0.6424840784106274,0.018639976793034092,9,0.6529680365296804,0.6607083747103608,0.6592689295039165,0.6456231695411649,0.6457253886010362,0.6528587797772317,0.00641805924453142,0.8591702615804695,0.8457862763155769,0.8547533646777503,0.873798329374889,0.8687988579424362,0.8604614179782244,0.009969903218212364,9,0.8678338850229649,0.8704060095617223,0.8683178550468742,0.8640723533291783,0.8639219095858982,0.8669104025093277,0.0025313484298106997
0.2671042919158936,0.002802871848891436,0.013475179672241211,0.0009357492776885444,0.75,300,5,2,0.05,0.0,0.95,"{'subsample': 0.75, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.95}",0.7710736468500443,0.7559893522626442,0.7453416149068323,0.7675244010647737,0.7841918294849023,0.7648241689138394,0.013259542978822019,9,0.7776791657421789,0.7925449301087197,0.7841136010650099,0.7770135345018859,0.7775066548358474,0.7817715772507284,0.005985425186392821,0.5438972162740899,0.5272727272727272,0.5125523012552301,0.5389473684210526,0.5636363636363636,0.5372611953718927,0.017045987195711224,11,0.5527173913043478,0.5731912507010656,0.5604991861096039,0.5519869352204682,0.552645935624659,0.5582081397920289,0.008118279697293696,0.8494983277591973,0.7759197324414716,0.8193979933110368,0.8561872909698997,0.8294314381270903,0.826086956521739,0.02837886747236978,4,0.8503344481605352,0.8545150501672241,0.8637123745819398,0.8478260869565217,0.846989966555184,0.8526755852842809,0.006107686410618622,0.6631853785900783,0.6278755074424899,0.6306306306306306,0.661498708010336,0.6711772665764547,0.6508734982499979,0.01797443606265033,1,0.6699604743083004,0.6861362873447465,0.6798288910825929,0.66864490603363,0.6688676130736216,0.6746876343685783,0.0070744248021637505,0.861115150340103,0.847113163039439,0.8589258882264552,0.8800429773964746,0.8739571243119952,0.8642308606628933,0.011623159600239248,3,0.8903023164903853,0.8931621967516811,0.8893486442778656,0.885911863667172,0.8858893826846331,0.8889228807743474,0.002768546625624664
0.5737827777862549,0.004430790437543508,0.01397719383239746,0.0006849124116914168,0.75,500,5,3,0.03,0.3,0.85,"{'subsample': 0.75, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.85}",0.769299023957409,0.7506654835847383,0.7471162377994676,0.7737355811889973,0.7806394316163411,0.7642911516293907,0.013131479644123676,11,0.8076325715553583,0.8153982693587752,0.8087419569558465,0.8018637674728201,0.8063442768411713,0.8079961684367942,0.004377547000162837,0.5415778251599147,0.5209302325581395,0.5151515151515151,0.5476190476190477,0.5607476635514018,0.5372052568080037,0.016929590920661493,12,0.591950810508664,0.6038812785388128,0.593505039193729,0.5842134519177321,0.5912945166760882,0.5929690193670052,0.006322426549786135,0.8494983277591973,0.7491638795986622,0.7959866220735786,0.8461538461538461,0.802675585284281,0.808695652173913,0.03690465344249826,8,0.8854515050167224,0.8846153846153846,0.8862876254180602,0.8787625418060201,0.8745819397993311,0.8819397993311038,0.0045305074194461736,0.6614583333333334,0.6145404663923183,0.6254927726675427,0.6649145860709592,0.6602475928473177,0.6453307502622943,0.021012970704990534,5,0.7095477386934673,0.7177747625508819,0.7109322602280349,0.7018363939899833,0.7055649241146712,0.7091312159154077,0.005367699962031399,0.8617573877498264,0.8456610602168259,0.8573101966296675,0.8779870098395618,0.8720563911142745,0.8629544091100312,0.011324090000538313,6,0.9141909657582054,0.9168531165497799,0.91224220673159,0.9092411632856527,0.9090133375341315,0.9123081579718718,0.002982222705416889
0.8763497829437256,0.007864231913814999,0.015333318710327148,0.0003209019343549464,0.95,500,1,5,0.1,0.0,1.0,"{'subsample': 0.95, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}",0.7923691215616682,0.7595385980479148,0.7790594498669032,0.7941437444543035,0.7921847246891652,0.7834591277239911,0.013124282627937932,1,0.992899933436876,0.9913467938761926,0.9913467938761926,0.9915686709562902,0.9902395740905058,0.9914803532472115,0.0008483179898498036,0.6,0.5451612903225806,0.5748502994011976,0.5954415954415955,0.6072607260726073,0.5845427822475961,0.022443978307274647,1,0.9739413680781759,0.968421052631579,0.968421052631579,0.9692058346839546,0.964516129032258,0.9689010874115093,0.00300619450024403,0.6521739130434783,0.5652173913043478,0.6421404682274248,0.6989966555183946,0.6153846153846154,0.6347826086956523,0.04403553335286366,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.625,0.555008210180624,0.6066350710900474,0.6430769230769231,0.6112956810631229,0.6082031770821434,0.02946197026938564,18,0.9867986798679867,0.983957219251337,0.983957219251337,0.9843621399176955,0.9819376026272578,0.9842025721831229,0.001550207739923482,0.842126734848852,0.8161544924304849,0.8337736092934581,0.8594105957054918,0.8514233256360378,0.840577751582865,0.01494987480460715,18,0.999972979497752,0.999998737359708,0.999991666574073,0.9999939393265986,0.9999757646260482,0.9999866174768359,1.0293427722627537e-05
0.29494404792785645,0.002411212608901483,0.013930416107177735,0.00031763560172825883,0.85,200,1,4,0.1,0.1,1.0,"{'subsample': 0.85, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.7834960070984915,0.7497781721384206,0.7613132209405501,0.7861579414374446,0.7859680284191829,0.773342674006818,0.015011424420127628,5,0.880186376747282,0.8821832704681606,0.8779676059463057,0.8768582205458176,0.878438331854481,0.8791267611124093,0.0018670236516986115,0.5672371638141809,0.5214105793450882,0.535377358490566,0.569377990430622,0.5725,0.5531806184160913,0.020782065730043327,5,0.7029702970297029,0.7056277056277056,0.6962332928311057,0.6948328267477204,0.6970802919708029,0.6993488828414075,0.004190141396104315,0.7759197324414716,0.6923076923076923,0.7591973244147158,0.7959866220735786,0.7658862876254181,0.7578595317725754,0.03505169901424457,12,0.9498327759197325,0.9540133779264214,0.9581939799331104,0.955685618729097,0.9581939799331104,0.9551839464882942,0.003110547698618441,0.655367231638418,0.5948275862068966,0.627939142461964,0.6638772663877266,0.6552217453505007,0.6394465944091012,0.025386835776058082,12,0.8079658605974396,0.8112335584784928,0.8064743138634765,0.8046462513199577,0.8070422535211268,0.8074724475560986,0.002170628238145254,0.8579645517263665,0.8339998061170084,0.850637390334933,0.8707406330279677,0.865715221637623,0.8558115205687796,0.012869496865441515,13,0.9659460862696454,0.9654536565557799,0.9632354500908596,0.9620172547371739,0.9626351122097815,0.963857511972648,0.0015606145572872397
0.43246235847473147,0.0035702835555773815,0.014401102066040039,0.0003018943980865539,0.95,500,5,2,0.1,0.0,0.75,"{'subsample': 0.95, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.75}",0.769299023957409,0.7497781721384206,0.7568766637089619,0.7737355811889973,0.7761989342806395,0.7651776750548855,0.010175882355228283,8,0.8134013756378966,0.8244952296427779,0.8138451297980919,0.8098513423563346,0.8085625554569654,0.8140311265784133,0.00560900169806513,0.5428571428571428,0.5199063231850117,0.5279642058165548,0.5484581497797357,0.5555555555555556,0.5389482754388002,0.013151155374740557,8,0.6011396011396012,0.6180758017492711,0.6012478729438457,0.5950644980370162,0.5946560545764639,0.6020367656892396,0.008506060738936047,0.8260869565217391,0.7424749163879598,0.7892976588628763,0.8327759197324415,0.7859531772575251,0.7953177257525084,0.03245353704537314,11,0.8821070234113713,0.8862876254180602,0.8862876254180602,0.887123745819398,0.8745819397993311,0.8832775919732441,0.004688242732065617,0.6551724137931034,0.6115702479338843,0.6327077747989276,0.6613545816733067,0.6509695290858726,0.6423549094570189,0.0181121518615932,10,0.7150118603863097,0.7282720714531089,0.7164582629266644,0.7123195703256127,0.7079526226734348,0.716002877553026,0.006783744770832381,0.857079960577125,0.8350903979448404,0.852119787374986,0.8781768536021843,0.8691122767144007,0.8583158552427074,0.014767278231078701,11,0.9171442814011065,0.9211094769739867,0.9181988385729539,0.913758385194179,0.9128850647488407,0.9166192093782133,0.0030020520724592
0.26698031425476076,0.0016440618990195464,0.013425445556640625,0.0005053099544386002,0.95,300,1,2,0.03,0.0,1.0,"{'subsample': 0.95, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 1.0}",0.7648624667258208,0.7471162377994676,0.7506654835847383,0.7737355811889973,0.7815275310834814,0.763581460076501,0.013150928572221146,13,0.7739072553805192,0.7832260927446195,0.7761260261814954,0.7727978699800311,0.764418811002662,0.7740952110578655,0.0060472861629178795,0.5364806866952789,0.515625,0.5189873417721519,0.5462184873949579,0.5590200445434298,0.5352663120811637,0.01634901018586606,13,0.5475550779150994,0.5603305785123966,0.5505132360886008,0.54638619201726,0.5356004250797024,0.5480771019226118,0.007935761949881461,0.8361204013377926,0.7725752508361204,0.822742474916388,0.8695652173913043,0.8394648829431438,0.8280936454849497,0.03170032270521145,3,0.8520066889632107,0.8503344481605352,0.8520066889632107,0.846989966555184,0.842809364548495,0.8488294314381271,0.0035236300176765176,0.6535947712418301,0.6184738955823293,0.6364812419146184,0.6709677419354839,0.6711229946524064,0.6501281290653337,0.020373116992143135,2,0.6666666666666666,0.6755230820325473,0.6688546110928782,0.6642622950819672,0.6549707602339181,0.6660554830215955,0.006692244716178632,0.8613130725607095,0.8482825198326143,0.8584068473009872,0.8795724072189101,0.874846829213056,0.8644843352252554,0.01135361428363058,2,0.8813544897973613,0.8845049035898379,0.8804230400539805,0.8770555783953157,0.8769689979076793,0.880061401948835,0.0028335667673567376
